owner	name	stars	title	url
scikit-learn	scikit-learn	28881	confusion_matrix() linking to Wikipedia, but not consistent with example there.	https://github.com/scikit-learn/scikit-learn/issues/11326
scikit-learn	scikit-learn	28881	Document missing/incorrect for libsvm.predict and libsvm.predict_proba	https://github.com/scikit-learn/scikit-learn/issues/11097
scikit-learn	scikit-learn	28881	check_X_y raises uninformative error message when y=None	https://github.com/scikit-learn/scikit-learn/issues/11257
scikit-learn	scikit-learn	28881	Change default n_estimators in RandomForest (to 100?)	https://github.com/scikit-learn/scikit-learn/issues/11128
scikit-learn	scikit-learn	28881	Add a list_scorers function to sklearn.metrics	https://github.com/scikit-learn/scikit-learn/issues/10712
scikit-learn	scikit-learn	28881	Adding Fall-out, Miss rate, specificity as metrics	https://github.com/scikit-learn/scikit-learn/issues/5516
scikit-learn	scikit-learn	28881	Change cv default to 5	https://github.com/scikit-learn/scikit-learn/issues/11129
scikit-learn	scikit-learn	28881	"Add ""usage question"" reply to saved replies"	https://github.com/scikit-learn/scikit-learn/issues/11145
scikit-learn	scikit-learn	28881	"Document `length_scale_bounds=""fixed""` in GP kernels."	https://github.com/scikit-learn/scikit-learn/issues/8358
scikit-learn	scikit-learn	28881	"SVC.coef_ and NuSVC.coef_ don't work as documented"	https://github.com/scikit-learn/scikit-learn/issues/9196
scikit-learn	scikit-learn	28881	Shorten and improve CONTRIBUTING.md	https://github.com/scikit-learn/scikit-learn/issues/10892
scikit-learn	scikit-learn	28881	Linear models take unreasonable longer time in certain data size.	https://github.com/scikit-learn/scikit-learn/issues/10813
scikit-learn	scikit-learn	28881	Make random_state descriptions more informative and refer to Glossary	https://github.com/scikit-learn/scikit-learn/issues/10548
scikit-learn	scikit-learn	28881	Verbose VotingClassifier	https://github.com/scikit-learn/scikit-learn/issues/10360
scikit-learn	scikit-learn	28881	Confusing organization for OneClassSVM docs.	https://github.com/scikit-learn/scikit-learn/issues/10923
scikit-learn	scikit-learn	28881	W and H switched in NMF docs?	https://github.com/scikit-learn/scikit-learn/issues/10944
scikit-learn	scikit-learn	28881	validation_curve and learning_curve should support fit_params	https://github.com/scikit-learn/scikit-learn/issues/10252
scikit-learn	scikit-learn	28881	Add QuantileTransformer to PowerTransformer example	https://github.com/scikit-learn/scikit-learn/issues/10257
scikit-learn	scikit-learn	28881	inf or -inf values in CV ruin the mean and std	https://github.com/scikit-learn/scikit-learn/issues/10529
scikit-learn	scikit-learn	28881	fetch_california_housing missing from the user guide	https://github.com/scikit-learn/scikit-learn/issues/10555
scikit-learn	scikit-learn	28881	BernoulliNB and MultinomialNB documentation for alpha=0	https://github.com/scikit-learn/scikit-learn/issues/10772
scikit-learn	scikit-learn	28881	Parallel computing with nested cross-validation	https://github.com/scikit-learn/scikit-learn/issues/10232
scrapy	scrapy	27815	Bring back docstring comments in CrawlSpider	https://github.com/scrapy/scrapy/issues/2727
scrapy	scrapy	27815	`item_urls` is not defined in example	https://github.com/scrapy/scrapy/issues/3097
scrapy	scrapy	27815	Prevent URL encoding option	https://github.com/scrapy/scrapy/issues/833
scrapy	scrapy	27815	Offsite middleware ignoring port	https://github.com/scrapy/scrapy/issues/50
scrapy	scrapy	27815	Python 3.7 support	https://github.com/scrapy/scrapy/issues/3143
certbot	certbot	22438	"Don't allow special characters in lineage name"	https://github.com/certbot/certbot/issues/6127
certbot	certbot	22438	certbot renew --debug-challenges	https://github.com/certbot/certbot/issues/5005
certbot	certbot	22438	`certbot delete` can result in a malformed Nginx config	https://github.com/certbot/certbot/issues/6094
certbot	certbot	22438	Give usage information specific to subcommand	https://github.com/certbot/certbot/issues/6093
certbot	certbot	22438	Offer interactive selection for --cert-name for install verb	https://github.com/certbot/certbot/issues/5824
certbot	certbot	22438	Spurious error parsing ssl.conf	https://github.com/certbot/certbot/issues/6095
certbot	certbot	22438	Get static typing (using mypy?)	https://github.com/certbot/certbot/issues/4244
certbot	certbot	22438	[Feature Request] Parameter to keep internal webserver running	https://github.com/certbot/certbot/issues/6042
certbot	certbot	22438	"certbot-apache should dump the apachectl -S when it can't renew"	https://github.com/certbot/certbot/issues/6045
certbot	certbot	22438	Refactor Nginx plugin unit tests to decouple test config files	https://github.com/certbot/certbot/issues/3873
certbot	certbot	22438	Renewal conf files should use relative paths for specifying live/archive dirs	https://github.com/certbot/certbot/issues/3953
