owner	name	stars	title	url
sinatra	sinatra	10026	Update 2.0 README translations	https://github.com/sinatra/sinatra/issues/1249
sinatra	sinatra	10026	Is there a reason the server_settings option is not documented anywhere?	https://github.com/sinatra/sinatra/issues/940
sinatra	sinatra	10026	Mention how to start various servers in threaded mode	https://github.com/sinatra/sinatra/issues/941
sinatra	sinatra	10026	Document sharing sessions	https://github.com/sinatra/sinatra/issues/1160
sinatra	sinatra	10026	Rack::Protection more examples in docs	https://github.com/sinatra/sinatra/issues/1154
rubocop-hq	rubocop	9135	Add examples in the documentation	https://github.com/rubocop-hq/rubocop/issues/4910
rubocop-hq	rubocop	9135	on_index, on_indexasgn, on_lambda callbacks seem to be missing?	https://github.com/rubocop-hq/rubocop/issues/5999
rubocop-hq	rubocop	9135	"Undiscovered bad indentation is one of RuboCop's spec files"	https://github.com/rubocop-hq/rubocop/issues/5994
rubocop-hq	rubocop	9135	Extend cop metadata	https://github.com/rubocop-hq/rubocop/issues/5978
rubocop-hq	rubocop	9135	 Lint/EnsureReturn cop - why ensure must not return	https://github.com/rubocop-hq/rubocop/issues/5949
rubocop-hq	rubocop	9135	Tag issues suitable for newcomers properly	https://github.com/rubocop-hq/rubocop/issues/5795
rubocop-hq	rubocop	9135	[Suggestion] Appveyor Rspec test reporter	https://github.com/rubocop-hq/rubocop/issues/5718
rubocop-hq	rubocop	9135	Improve the manual	https://github.com/rubocop-hq/rubocop/issues/3246
elastic	logstash	9078	Usage note for --quiet is wrong	https://github.com/elastic/logstash/issues/9724
elastic	logstash	9078	Logstash Keystore Enhancement	https://github.com/elastic/logstash/issues/9262
charliesome	better_errors	6347	Allow to configure internal url	https://github.com/charliesome/better_errors/issues/415
charliesome	better_errors	6347	Use `ObjectSpace.memsize_of` instead of serializing every variable	https://github.com/charliesome/better_errors/issues/412
charliesome	better_errors	6347	allow custom favicon	https://github.com/charliesome/better_errors/issues/362
charliesome	better_errors	6347	"""Loading"" indicator while variables are being fetched"	https://github.com/charliesome/better_errors/issues/382
cucumber	cucumber-ruby	4978	Disable color when output to file using `--out` / allow `--color` to be a per-formatter option like `--out`	https://github.com/cucumber/cucumber-ruby/issues/1288
cucumber	cucumber-ruby	4978	Fix style violations	https://github.com/cucumber/cucumber-ruby/issues/1021
cucumber	cucumber-ruby	4978	Fix Windows build	https://github.com/cucumber/cucumber-ruby/issues/1215
bundler	bundler	4207	"Support ""bundle config mirror.<URL>"" for :git sources"	https://github.com/bundler/bundler/issues/4513
bundler	bundler	4207	[Feature request] Specifying groups for `bundle list`	https://github.com/bundler/bundler/issues/6564
bundler	bundler	4207	Add flag `--ignore-cache` to `plugin install`	https://github.com/bundler/bundler/issues/5446
bundler	bundler	4207	Add option to `plugin install` for local plugins	https://github.com/bundler/bundler/issues/5445
bundler	bundler	4207	Adding --gemfile= selection as an argument to exec	https://github.com/bundler/bundler/issues/5924
bundler	bundler	4207	Allow running bundler when STDERR has been closed	https://github.com/bundler/bundler/issues/6190
bundler	bundler	4207	Add `bundle plugin list` command	https://github.com/bundler/bundler/issues/5467
bundler	bundler	4207	Bundler cannot run on Windows when username contains non-ASCII characters	https://github.com/bundler/bundler/issues/5566
bundler	bundler	4207	Bundler git check not working on windows	https://github.com/bundler/bundler/issues/6052
bundler	bundler	4207	bundle outdated --source not working as expected	https://github.com/bundler/bundler/issues/4881
kickstarter	rack-attack	3791	Move Wiki examples into version control	https://github.com/kickstarter/rack-attack/issues/324
kickstarter	rack-attack	3791	Add Table of Contents section to the README	https://github.com/kickstarter/rack-attack/issues/335
kickstarter	rack-attack	3791	Add FAQ to the docs	https://github.com/kickstarter/rack-attack/issues/332
opal	opal	3766	Regression with block argument destructuring.	https://github.com/opal/opal/issues/1660
opal	opal	3766	Array#select should use Opal.truthy	https://github.com/opal/opal/issues/1783
opal	opal	3766	"IO reading process means you can't use execjs with V8"	https://github.com/opal/opal/issues/1539
fatfreecrm	fat_free_crm	3013	Patterns for custom fields	https://github.com/fatfreecrm/fat_free_crm/issues/519
fatfreecrm	fat_free_crm	3013	Refactoring: Add a proper logger to mail_processor	https://github.com/fatfreecrm/fat_free_crm/issues/674
fatfreecrm	fat_free_crm	3013	e-mail address with with accidently added spaces gives error message while creating a user. 	https://github.com/fatfreecrm/fat_free_crm/issues/412
twitter	secure_headers	2458	Consider removal of support for HPKP?	https://github.com/twitter/secure_headers/issues/368
twitter	secure_headers	2458	report-uri is deprecated in favor of report-to	https://github.com/twitter/secure_headers/issues/269
twitter	secure_headers	2458	expect-ct is undocumented	https://github.com/twitter/secure_headers/issues/369
rubygems	rubygems	1973	"gem pristine doesn't seem to account for --user-install"	https://github.com/rubygems/rubygems/issues/1968
rubygems	rubygems	1973	rubygems installer uses absolute pathnames in generated windows stub batch files	https://github.com/rubygems/rubygems/issues/2111
rubygems	rubygems	1973	pristine --bindir	https://github.com/rubygems/rubygems/issues/1997
rubygems	rubygems	1973	Cannot cleanup user gems	https://github.com/rubygems/rubygems/issues/1530
oauth-xx	oauth2	1782	Multiple values for same parameter get discarded	https://github.com/oauth-xx/oauth2/issues/221
oauth-xx	oauth2	1782	Handle Faraday::Error::ConnectionFailed	https://github.com/oauth-xx/oauth2/issues/152
oauth-xx	oauth2	1782	getaddrinfo: No such host is known with Rail 4 on Windows 7	https://github.com/oauth-xx/oauth2/issues/187
