owner	name	stars	title	url
iluwatar	java-design-patterns	34922	Intermittent test failure in Throttling pattern	https://github.com/iluwatar/java-design-patterns/issues/643
iluwatar	java-design-patterns	34922	SonarQube reports code smells	https://github.com/iluwatar/java-design-patterns/issues/508
iluwatar	java-design-patterns	34922	Double-checked locking more antipattern than pattern	https://github.com/iluwatar/java-design-patterns/issues/650
iluwatar	java-design-patterns	34922	"Can't get h2 jar package in IntelliJ"	https://github.com/iluwatar/java-design-patterns/issues/635
iluwatar	java-design-patterns	34922	Prototype pattern re-factor	https://github.com/iluwatar/java-design-patterns/issues/584
iluwatar	java-design-patterns	34922	Attach tutorial links to patterns	https://github.com/iluwatar/java-design-patterns/issues/525
iluwatar	java-design-patterns	34922	"""Aggregator microservices""  design pattern doesn't show exception handling "	https://github.com/iluwatar/java-design-patterns/issues/549
iluwatar	java-design-patterns	34922	Page-Object source placement?	https://github.com/iluwatar/java-design-patterns/issues/524
iluwatar	java-design-patterns	34922	More Singleton wisdom	https://github.com/iluwatar/java-design-patterns/issues/187
iluwatar	java-design-patterns	34922	Amend Abstract Factory information	https://github.com/iluwatar/java-design-patterns/issues/462
iluwatar	java-design-patterns	34922	SEO (Search Engine Optimization)	https://github.com/iluwatar/java-design-patterns/issues/482
bumptech	glide	22120	"Glide's `trimMemory()` implementation doesn't trim when foregrounded"	https://github.com/bumptech/glide/issues/2810
bumptech	glide	22120	Support arbitrary LayoutManagers in RecyclerView integration package	https://github.com/bumptech/glide/issues/493
apache	incubator-dubbo	19605	dubbo现在还会考虑对分布式事务的支持吗？	https://github.com/apache/incubator-dubbo/issues/858
apache	incubator-dubbo	19605	Highlight the number of github stars/forks in the dubbo homepage?	https://github.com/apache/incubator-dubbo/issues/984
apache	incubator-dubbo	19605	dubbo可不可以支持相同接口，指定调用服务系统	https://github.com/apache/incubator-dubbo/issues/802
libgdx	libgdx	14006	Tooltips broken on Android	https://github.com/libgdx/libgdx/issues/4924
libgdx	libgdx	14006	[HTML/GWT] Input.isKeyPressed Always TRUE If Release Occurs Outside of LibGDX Context	https://github.com/libgdx/libgdx/issues/5134
libgdx	libgdx	14006	"There's no way to get the maximum touch count from Input"	https://github.com/libgdx/libgdx/issues/4977
bazelbuild	bazel	9213	Expand on the community-maintained Bazel packages on docs.bazel.build	https://github.com/bazelbuild/bazel/issues/5332
bazelbuild	bazel	9213	support passing tuples to str.startswith and str.endswith	https://github.com/bazelbuild/bazel/issues/5307
bazelbuild	bazel	9213	Should be able to use @SkylarkSignature on Provider constructors	https://github.com/bazelbuild/bazel/issues/3035
bazelbuild	bazel	9213	"pkg_tar fails when src file name contains the '=' character"	https://github.com/bazelbuild/bazel/issues/4063
bazelbuild	bazel	9213	Better Invalid SHA256 checksum message	https://github.com/bazelbuild/bazel/issues/3709
bazelbuild	bazel	9213	Docker tests enforce specific docker setup	https://github.com/bazelbuild/bazel/issues/4213
bazelbuild	bazel	9213	External git repository fetch fails if output base is below a git directory	https://github.com/bazelbuild/bazel/issues/4037
bazelbuild	bazel	9213	bazel java library path has many redundant entries	https://github.com/bazelbuild/bazel/issues/3603
bazelbuild	bazel	9213	Add -v, --version flag	https://github.com/bazelbuild/bazel/issues/3599
bazelbuild	bazel	9213	"Unable to load package for '@bazel_tools//third_party/protobuf/3.2.0:protobuf.bzl"	https://github.com/bazelbuild/bazel/issues/3587
bazelbuild	bazel	9213	"Allow relative paths with bazelrc's ""import"" command"	https://github.com/bazelbuild/bazel/issues/3050
bazelbuild	bazel	9213	Make javac_opts of java_common.compile expandable	https://github.com/bazelbuild/bazel/issues/2689
bazelbuild	bazel	9213	Installer script broken on macOS / 0.4.3, 0.4.4, 0.4.5rc5: symlink is incorrect if the path to --prefix arg is relative	https://github.com/bazelbuild/bazel/issues/2653
dbeaver	dbeaver	5427	"How can I view the ""Save"" button in the upper toolbar ?"	https://github.com/dbeaver/dbeaver/issues/2781
dbeaver	dbeaver	5427	auto indent not working on new line after semicolon	https://github.com/dbeaver/dbeaver/issues/2768
dbeaver	dbeaver	5427	Copy tables (Oracle)	https://github.com/dbeaver/dbeaver/issues/3026
dbeaver	dbeaver	5427	Generate update or insert statement with matching (Firebird)	https://github.com/dbeaver/dbeaver/issues/2908
OpenRefine	OpenRefine	5368	Installer on package for Linux	https://github.com/OpenRefine/OpenRefine/issues/1445
OpenRefine	OpenRefine	5368	Editing single blank cell and applying to identical cells does not work affect other blank cells	https://github.com/OpenRefine/OpenRefine/issues/180
OpenRefine	OpenRefine	5368	"Add translatable for core-buttons ""browse"""	https://github.com/OpenRefine/OpenRefine/issues/1409
OpenRefine	OpenRefine	5368	Error when trying to change workspace via -d terminal command	https://github.com/OpenRefine/OpenRefine/issues/1623
OpenRefine	OpenRefine	5368	Timeline facet - show max date	https://github.com/OpenRefine/OpenRefine/issues/1537
OpenRefine	OpenRefine	5368	exporting project with only non-alphanumerical name generate empty name of file	https://github.com/OpenRefine/OpenRefine/issues/1578
OpenRefine	OpenRefine	5368	Provide ability to bypass Levenshtein clustering in order to run PPM clustering	https://github.com/OpenRefine/OpenRefine/issues/241
OpenRefine	OpenRefine	5368	Add a Confirm dialog for Starred expression Remove links	https://github.com/OpenRefine/OpenRefine/issues/501
OpenRefine	OpenRefine	5368	Optimize Refresh Facets	https://github.com/OpenRefine/OpenRefine/issues/700
OpenRefine	OpenRefine	5368	Allow facet panel to be minimized horizontally	https://github.com/OpenRefine/OpenRefine/issues/1038
