owner	name	stars	title	url
vuejs	vue	105732	warn if $set is used on a property that already exist	https://github.com/vuejs/vue/issues/8129
vuejs	vue	105732	Creating a component named map should warn the user (as with button)	https://github.com/vuejs/vue/issues/8025
vuejs	vue	105732	Make the warning messages more explicit	https://github.com/vuejs/vue/issues/7764
vuejs	vue	105732	2.5.14 introduces TypeError bind is not a function	https://github.com/vuejs/vue/issues/8017
facebook	react	105130	Nicer Formatting of SSR Validation	https://github.com/facebook/react/issues/10085
facebook	react	105130	"Ignore <noscript> content on the client and don't warn about mismatches "	https://github.com/facebook/react/issues/11423
facebook	react	105130	Children of option tags flattened when select has value	https://github.com/facebook/react/issues/11602
facebook	react	105130	False positive getDefaultProps warning when mixing development and production versions	https://github.com/facebook/react/issues/9999
nodejs	node	50888	dns.js not properly iterating through DNS array	https://github.com/nodejs/node/issues/21391
nodejs	node	50888	doc: explicitly mention that the explanation of an synchronous fs API live in the docs of the async API	https://github.com/nodejs/node/issues/21197
nodejs	node	50888	Inconsistent documentation: hostname vs host	https://github.com/nodejs/node/issues/20892
nodejs	node	50888	Debugging: name every function	https://github.com/nodejs/node/issues/8913
nodejs	node	50888	No DNS Search Domain support in C-Ares calls	https://github.com/nodejs/node/issues/17850
nodejs	node	50888	Offset must be >= 0 && <= 0 Out of range 0 :-)	https://github.com/nodejs/node/issues/21193
nodejs	node	50888	doc: how to use advanced features of `configure` on Windows	https://github.com/nodejs/node/issues/17331
nodejs	node	50888	Document how to get swap endian for the Buffer class	https://github.com/nodejs/node/issues/12813
nodejs	node	50888	module.children behavior does not match documentation (only tracks first requires)	https://github.com/nodejs/node/issues/9371
nodejs	node	50888	Cannot properly close/cleanup character device ReadStream (process hangs)	https://github.com/nodejs/node/issues/15439
nodejs	node	50888	Degraded performance of ia32 builds on x64 Windows and undocumented build parameter	https://github.com/nodejs/node/issues/11500
nodejs	node	50888	Add lint rule to enforce snake_case in file names	https://github.com/nodejs/node/issues/20446
nodejs	node	50888	doc: guide/topic on how to use streams	https://github.com/nodejs/node/issues/8646
mui-org	material-ui	38160	Extended Fab enhancements?	https://github.com/mui-org/material-ui/issues/12017
mui-org	material-ui	38160	`width` is too common of a prop name for withWidth, can we make this prop name customizable?	https://github.com/mui-org/material-ui/issues/11952
mui-org	material-ui	38160	How to apply a custom className to StepPositionIcon?	https://github.com/mui-org/material-ui/issues/12001
mui-org	material-ui	38160	CircularProgress sizing issue in a Dialog	https://github.com/mui-org/material-ui/issues/11837
mui-org	material-ui	38160	"themed ""classes"" prop is ignored"	https://github.com/mui-org/material-ui/issues/12013
mui-org	material-ui	38160	Tabs fullWidth inconsistent with default CSS	https://github.com/mui-org/material-ui/issues/11947
mui-org	material-ui	38160	Using enzyme/shallow/mount and a theme with custom variables in a sub component	https://github.com/mui-org/material-ui/issues/11864
mui-org	material-ui	38160	[docs] Table virtualized	https://github.com/mui-org/material-ui/issues/7450
mui-org	material-ui	38160	SubMenu should not overlap parent menu	https://github.com/mui-org/material-ui/issues/11723
mui-org	material-ui	38160	[Grid] Allow items to be containers as well [enhancement]	https://github.com/mui-org/material-ui/issues/7744
mui-org	material-ui	38160	"MenuItem not inheriting ""disableGutters"" correctly"	https://github.com/mui-org/material-ui/issues/11658
mui-org	material-ui	38160	PersistentDrawer demo limits page height to drawer height	https://github.com/mui-org/material-ui/issues/11179
mui-org	material-ui	38160	"ExpansionPanel renders components even when it's closed."	https://github.com/mui-org/material-ui/issues/10569
mui-org	material-ui	38160	[Drawer] persistent=true open=false, component visible after adding props/children that increase size	https://github.com/mui-org/material-ui/issues/10183
GoogleChrome	puppeteer	34257	docs: Puppeteeer with Chrome Extensions	https://github.com/GoogleChrome/puppeteer/issues/2823
GoogleChrome	puppeteer	34257	Can the error message be more specific?	https://github.com/GoogleChrome/puppeteer/issues/2653
GoogleChrome	puppeteer	34257	"Can't collect coverage of anonymous scripts"	https://github.com/GoogleChrome/puppeteer/issues/2777
GoogleChrome	puppeteer	34257	"page.goto doesn't clear internal timeout when the browser is closed"	https://github.com/GoogleChrome/puppeteer/issues/2721
GoogleChrome	puppeteer	34257	Method to show if element is displayed	https://github.com/GoogleChrome/puppeteer/issues/2629
GoogleChrome	puppeteer	34257	[Feature] Add page.waitForRequest() and page.waitForResponse()	https://github.com/GoogleChrome/puppeteer/issues/2362
GoogleChrome	puppeteer	34257	More flexible dumpio	https://github.com/GoogleChrome/puppeteer/issues/1292
GoogleChrome	puppeteer	34257	Serialize Uint8Arrays better	https://github.com/GoogleChrome/puppeteer/issues/2427
